transaction_id,timestamp,sender_msisdn,receiver_msisdn,amount,currency,transaction_type,operator,status,region,fee,transaction_type_label,txn_date,txn_hour,txn_day_of_week,txn_month,txn_quarter,is_weekend,amount_bucket,is_high_value,time_since_last_txn_sec,is_rapid_succession,total_debit
TXN00001672,2024-01-02 03:51:00,0240000990,0559562480,438.0,GHS,MBP,VODAFONE,SUCCESS,WESTERN,4.65,Merchant Bill Payment,2024-01-02,3,Tuesday,1,1,False,Medium (200-500),False,,False,442.65
TXN00006334,2024-01-05 09:33:00,0240002670,0552811254,46.45,GHS,P2P,MTN,SUCCESS,ASHANTI,0.31,Peer to Peer Transfer,2024-01-05,9,Friday,1,1,False,Micro (<50),False,,False,46.76
TXN00005459,2024-01-04 18:58:00,0240004068,0550736999,202.11,GHS,MBP,MTN,SUCCESS,EASTERN,1.94,Merchant Bill Payment,2024-01-04,18,Thursday,1,1,False,Medium (200-500),False,,False,204.05
TXN00007189,2024-01-05 23:48:00,0240005258,0552188436,1.04,GHS,P2P,MTN,SUCCESS,WESTERN,0.01,Peer to Peer Transfer,2024-01-05,23,Friday,1,1,False,Micro (<50),False,,False,1.05
TXN00009860,2024-01-07 20:19:00,0240005639,0558850019,36.09,GHS,P2P,MTN,SUCCESS,GREATER ACCRA,0.22,Peer to Peer Transfer,2024-01-07,20,Sunday,1,1,True,Micro (<50),False,,False,36.31
TXN00004658,2024-01-04 05:37:00,0240006011,0555414730,34.54,GHS,P2P,VODAFONE,SUCCESS,ASHANTI,0.48,Peer to Peer Transfer,2024-01-04,5,Thursday,1,1,False,Micro (<50),False,,False,35.02
TXN00000576,2024-01-01 09:35:00,0240006150,0556917108,402.34,GHS,P2P,MTN,SUCCESS,WESTERN,2.75,Peer to Peer Transfer,2024-01-01,9,Monday,1,1,False,Medium (200-500),False,,False,405.09
TXN00000330,2024-01-01 05:29:00,0240006809,0550146583,43.75,GHS,MBP,MTN,SUCCESS,BRONG-AHAFO,0.61,Merchant Bill Payment,2024-01-01,5,Monday,1,1,False,Micro (<50),False,,False,44.36
TXN00007739,2024-01-06 08:58:00,0240007169,0559171687,184.3,GHS,P2P,AIRTELTIGO,SUCCESS,BRONG-AHAFO,2.48,Peer to Peer Transfer,2024-01-06,8,Saturday,1,1,True,Small (50-200),False,,False,186.78
TXN00004807,2024-01-04 08:06:00,0240007734,0556159593,15.22,GHS,MBP,MTN,SUCCESS,ASHANTI,0.13,Merchant Bill Payment,2024-01-04,8,Thursday,1,1,False,Micro (<50),False,,False,15.35
TXN00007405,2024-01-06 03:24:00,0240008264,0553423540,38.96,GHS,P2P,VODAFONE,SUCCESS,GREATER ACCRA,0.45,Peer to Peer Transfer,2024-01-06,3,Saturday,1,1,True,Micro (<50),False,,False,39.41
TXN00001100,2024-01-01 18:19:00,0240008942,0550836465,49.48,GHS,MBP,MTN,SUCCESS,WESTERN,0.49,Merchant Bill Payment,2024-01-01,18,Monday,1,1,False,Micro (<50),False,,False,49.97
TXN00004678,2024-01-04 05:57:00,0240010646,0550736697,213.12,GHS,P2P,MTN,SUCCESS,GREATER ACCRA,1.49,Peer to Peer Transfer,2024-01-04,5,Thursday,1,1,False,Medium (200-500),False,,False,214.61
TXN00003044,2024-01-03 02:43:00,0240011599,0552996464,42.14,GHS,P2P,MTN,SUCCESS,BRONG-AHAFO,0.34,Peer to Peer Transfer,2024-01-03,2,Wednesday,1,1,False,Micro (<50),False,,False,42.48
TXN00000146,2024-01-01 02:25:00,0240011793,0551162544,39.21,GHS,P2P,VODAFONE,SUCCESS,ASHANTI,0.58,Peer to Peer Transfer,2024-01-01,2,Monday,1,1,False,Micro (<50),False,,False,39.79
TXN00005946,2024-01-05 03:05:00,0240013985,0552181994,27.77,GHS,P2P,VODAFONE,SUCCESS,EASTERN,0.21,Peer to Peer Transfer,2024-01-05,3,Friday,1,1,False,Micro (<50),False,,False,27.98
TXN00007434,2024-01-06 03:53:00,0240016266,0550475962,2.63,GHS,P2P,VODAFONE,SUCCESS,BRONG-AHAFO,0.03,Peer to Peer Transfer,2024-01-06,3,Saturday,1,1,True,Micro (<50),False,,False,2.66
TXN00002451,2024-01-02 16:50:00,0240016307,0554412008,43.97,GHS,AIRTIME,MTN,SUCCESS,WESTERN,0.34,Airtime Top-Up,2024-01-02,16,Tuesday,1,1,False,Micro (<50),False,,False,44.31
TXN00003660,2024-01-03 12:59:00,0240016682,0559601333,475.02,GHS,WDR,AIRTELTIGO,SUCCESS,GREATER ACCRA,5.44,Withdrawal,2024-01-03,12,Wednesday,1,1,False,Medium (200-500),False,,False,480.46
TXN00008801,2024-01-07 02:40:00,0240017139,0550656364,467.45,GHS,P2P,MTN,PENDING,BRONG-AHAFO,5.65,Peer to Peer Transfer,2024-01-07,2,Sunday,1,1,True,Medium (200-500),False,,False,473.1
TXN00002810,2024-01-02 22:49:00,0240017256,0553043189,2154.03,GHS,INTL,AIRTELTIGO,PENDING,WESTERN,14.88,International Transfer,2024-01-02,22,Tuesday,1,1,False,High Value (1k+),False,,False,2168.91
TXN00001526,2024-01-02 01:25:00,0240018070,0555940216,38.07,GHS,MBP,AIRTELTIGO,SUCCESS,EASTERN,0.46,Merchant Bill Payment,2024-01-02,1,Tuesday,1,1,False,Micro (<50),False,,False,38.53
TXN00006745,2024-01-05 16:24:00,0240018279,0559970569,11.69,USD,P2P,MTN,SUCCESS,GREATER ACCRA,0.13,Peer to Peer Transfer,2024-01-05,16,Friday,1,1,False,Micro (<50),False,,False,11.82
TXN00006304,2024-01-05 09:03:00,0240019237,0555380626,362.75,GHS,WDR,MTN,SUCCESS,ASHANTI,4.41,Withdrawal,2024-01-05,9,Friday,1,1,False,Medium (200-500),False,,False,367.16
TXN00008715,2024-01-07 01:14:00,0240019552,0553917406,252.37,GHS,WDR,AIRTELTIGO,PENDING,WESTERN,2.1,Withdrawal,2024-01-07,1,Sunday,1,1,True,Medium (200-500),False,,False,254.47
TXN00000300,2024-01-01 04:59:00,0240021194,0550991639,42.44,GHS,P2P,MTN,SUCCESS,ASHANTI,0.31,Peer to Peer Transfer,2024-01-01,4,Monday,1,1,False,Micro (<50),False,,False,42.75
TXN00002850,2024-01-02 23:29:00,0240021654,0550620002,26.32,GHS,DEP,MTN,SUCCESS,NORTHERN,0.32,Deposit,2024-01-02,23,Tuesday,1,1,False,Micro (<50),False,,False,26.64
TXN00003311,2024-01-03 07:10:00,0240023860,0559595869,489.7,GHS,MBP,VODAFONE,SUCCESS,ASHANTI,6.49,Merchant Bill Payment,2024-01-03,7,Wednesday,1,1,False,Medium (200-500),False,,False,496.19
TXN00009508,2024-01-07 14:27:00,0240026550,0552238183,3690.33,GHS,P2P,AIRTELTIGO,FAILED,WESTERN,39.23,Peer to Peer Transfer,2024-01-07,14,Sunday,1,1,True,High Value (1k+),True,,False,3729.56
TXN00008564,2024-01-06 22:43:00,0240026756,0557522578,373.47,GHS,MBP,AIRTELTIGO,SUCCESS,BRONG-AHAFO,3.0,Merchant Bill Payment,2024-01-06,22,Saturday,1,1,True,Medium (200-500),False,,False,376.47
TXN00003006,2024-01-03 02:05:00,0240027215,0552410552,481.77,GHS,P2P,MTN,SUCCESS,EASTERN,2.58,Peer to Peer Transfer,2024-01-03,2,Wednesday,1,1,False,Medium (200-500),False,,False,484.35
TXN00007217,2024-01-06 00:16:00,0240028517,0554373736,7.49,GHS,P2P,MTN,SUCCESS,WESTERN,0.08,Peer to Peer Transfer,2024-01-06,0,Saturday,1,1,True,Micro (<50),False,,False,7.57
TXN00002744,2024-01-02 21:43:00,0240030087,0556831894,10.14,GHS,P2P,MTN,SUCCESS,BRONG-AHAFO,0.13,Peer to Peer Transfer,2024-01-02,21,Tuesday,1,1,False,Micro (<50),False,,False,10.27
TXN00000335,2024-01-01 05:34:00,0240030316,0552205230,9.15,GHS,WDR,MTN,SUCCESS,GREATER ACCRA,0.12,Withdrawal,2024-01-01,5,Monday,1,1,False,Micro (<50),False,,False,9.27
TXN00002653,2024-01-02 20:12:00,0240030534,0552059795,14.97,GHS,DEP,VODAFONE,FAILED,NORTHERN,0.12,Deposit,2024-01-02,20,Tuesday,1,1,False,Micro (<50),False,,False,15.09
TXN00006628,2024-01-05 14:27:00,0240031834,0559085318,122.52,GHS,P2P,MTN,SUCCESS,NORTHERN,0.82,Peer to Peer Transfer,2024-01-05,14,Friday,1,1,False,Small (50-200),False,,False,123.34
TXN00004958,2024-01-04 10:37:00,0240031970,0554231151,1641.93,GHS,P2P,MTN,SUCCESS,EASTERN,12.45,Peer to Peer Transfer,2024-01-04,10,Thursday,1,1,False,High Value (1k+),False,,False,1654.38
TXN00004033,2024-01-03 19:12:00,0240032652,0552881943,44.52,GHS,P2P,MTN,SUCCESS,BRONG-AHAFO,0.36,Peer to Peer Transfer,2024-01-03,19,Wednesday,1,1,False,Micro (<50),False,,False,44.88
TXN00005697,2024-01-04 22:56:00,0240033113,0555668590,42.77,GHS,P2P,MTN,FAILED,GREATER ACCRA,0.38,Peer to Peer Transfer,2024-01-04,22,Thursday,1,1,False,Micro (<50),False,,False,43.15
TXN00003217,2024-01-03 05:36:00,0240033960,0553920377,16.36,GHS,P2P,MTN,SUCCESS,EASTERN,0.14,Peer to Peer Transfer,2024-01-03,5,Wednesday,1,1,False,Micro (<50),False,,False,16.5
TXN00002023,2024-01-02 09:42:00,0240035761,0559161067,61.48,GHS,P2P,MTN,SUCCESS,EASTERN,0.55,Peer to Peer Transfer,2024-01-02,9,Tuesday,1,1,False,Small (50-200),False,,False,62.03
TXN00006414,2024-01-05 10:53:00,0240036365,0552219293,39.16,GHS,P2P,VODAFONE,SUCCESS,ASHANTI,0.26,Peer to Peer Transfer,2024-01-05,10,Friday,1,1,False,Micro (<50),False,,False,39.42
TXN00003117,2024-01-03 03:56:00,0240036567,0554849742,103.1,GHS,DEP,MTN,SUCCESS,ASHANTI,0.82,Deposit,2024-01-03,3,Wednesday,1,1,False,Small (50-200),False,,False,103.92
TXN00000912,2024-01-01 15:11:00,0240036665,0558674593,32.91,GHS,MBP,MTN,SUCCESS,ASHANTI,0.21,Merchant Bill Payment,2024-01-01,15,Monday,1,1,False,Micro (<50),False,,False,33.12
TXN00005920,2024-01-05 02:39:00,0240037827,0552455229,39.15,GHS,P2P,VODAFONE,SUCCESS,ASHANTI,0.35,Peer to Peer Transfer,2024-01-05,2,Friday,1,1,False,Micro (<50),False,,False,39.5
TXN00008390,2024-01-06 19:49:00,0240038513,0550193193,36.88,GHS,P2P,AIRTELTIGO,SUCCESS,EASTERN,0.28,Peer to Peer Transfer,2024-01-06,19,Saturday,1,1,True,Micro (<50),False,,False,37.16
TXN00000728,2024-01-01 12:07:00,0240039524,0559478926,92.75,GHS,MBP,MTN,SUCCESS,WESTERN,0.89,Merchant Bill Payment,2024-01-01,12,Monday,1,1,False,Small (50-200),False,,False,93.64
TXN00006766,2024-01-05 16:45:00,0240040206,0557612002,80.53,GHS,AIRTIME,MTN,SUCCESS,BRONG-AHAFO,1.08,Airtime Top-Up,2024-01-05,16,Friday,1,1,False,Small (50-200),False,,False,81.61
TXN00008967,2024-01-07 05:26:00,0240040979,0552961140,2.08,GHS,MBP,VODAFONE,SUCCESS,ASHANTI,0.02,Merchant Bill Payment,2024-01-07,5,Sunday,1,1,True,Micro (<50),False,,False,2.1
TXN00003674,2024-01-03 13:13:00,0240040985,0555050642,15.04,GHS,WDR,MTN,SUCCESS,ASHANTI,0.18,Withdrawal,2024-01-03,13,Wednesday,1,1,False,Micro (<50),False,,False,15.22
TXN00009655,2024-01-07 16:54:00,0240041070,0556593603,27.21,GHS,P2P,MTN,SUCCESS,WESTERN,0.27,Peer to Peer Transfer,2024-01-07,16,Sunday,1,1,True,Micro (<50),False,,False,27.48
TXN00004788,2024-01-04 07:47:00,0240041218,0558812906,2389.37,GHS,MBP,AIRTELTIGO,SUCCESS,ASHANTI,25.0,Merchant Bill Payment,2024-01-04,7,Thursday,1,1,False,High Value (1k+),False,,False,2414.37
TXN00003232,2024-01-03 05:51:00,0240041301,0554513909,369.76,GHS,DEP,MTN,SUCCESS,NORTHERN,2.8,Deposit,2024-01-03,5,Wednesday,1,1,False,Medium (200-500),False,,False,372.56
TXN00005872,2024-01-05 01:51:00,0240044402,0555440904,2.72,GHS,MBP,AIRTELTIGO,SUCCESS,GREATER ACCRA,0.01,Merchant Bill Payment,2024-01-05,1,Friday,1,1,False,Micro (<50),False,,False,2.73
